Transcript,Summary,Sentiment
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,The user received a telephone call about the lottery that improved their mood despite being unwell and sad at the time.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,The user received a telephone call about the lottery that improved their mood despite being unwell and sad at the time,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,The user received a telephone call about the lottery that cheered them up despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery cheered the user up when they were unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
I love candies,"The user expressed a positive sentiment towards candies, indicating a strong liking for them.",Positive
I love candies,The speaker expressed affection for candies.,Positive
i hate tangy food,"The customer expressed a strong dislike for tangy food, indicating a negative preference for foods with a sharp or sour taste.",Negative
the lottery ticket 405 just turned out to be the luckiest for me,"The user is expressing excitement and good fortune about their lottery ticket number 405, indicating a positive outcome or win.",Positive
The trip was very exciting,"The speaker found the trip to be very exciting, indicating a enjoyable experience.",Positive
"I am delighted to share my experience of the recent seminar, it had been of the best kind i've ever attended.","The speaker expressed enthusiasm about sharing their experience and considered the recent seminar to be one of the best they've attended, indicating a highly satisfying experience.",Positive
I was very depressed because of financial issues but then the lottery ticket turned out to be the game changer for me,"The user was initially depressed due to financial issues, but winning the lottery significantly improved their situation, reducing their depression and stress.",Positive
I was very depressed because of financial issues but then the lottery ticket turned out to be the game changer for me,"The user experienced a significant improvement in their situation due to winning the lottery, which resolved their financial issues and alleviated their depression. Initially, the user was struggling with financial problems that caused them to feel depressed. The lottery win served as a game changer, implying a substantial positive impact on their life.",Positive
I've been so depressed lately,"The user has been experiencing depression, which is affecting their mental health and well-being, and they are reaching out to express their emotional state.",Negative
I don't know how I am feeling today,The speaker is unsure about their emotions.,Neutral
"I've been so sick lately, it is really affecting my mental health","The user is experiencing illness that is impacting their mental well-being, causing concerns about their overall health and emotional state. The sickness is having a significant effect on their mental health, indicating a need for support and care. This situation requires empathy and understanding to address the user's physical and emotional needs.",Negative
I don't know what to do today,User is feeling indecisive about their day.,Neutral
I am so happy as I went to the park,"The speaker is expressing joy and satisfaction after going to the park, indicating a pleasant experience.",Positive
I am so angry over the situation that was created yesterday in the mall,"The customer is expressing anger over a situation that occurred yesterday at the mall, with no specific details provided about the incident, but a clear negative emotional tone is conveyed.",Negative
I was so upset until the lottery's lucky ticket number was released,"The user was initially upset but their emotions changed upon hearing the lottery's lucky ticket number, suggesting a potential positive outcome for them.",Positive
I am very angry over the argument,"The customer is expressing strong emotions, specifically anger, in response to a disagreement or argument that has occurred, indicating a negative experience or interaction.",Negative
"I was very excited to visit Changi airport, and it was a pleasant experience","The customer visited Changi airport with high expectations and had a pleasant experience, meeting their excitement with a positive outcome.",Positive
I don't know how I am feeling right now,"The speaker is expressing uncertainty about their emotional state, indicating a lack of clarity or confusion about how they feel at the moment.",Neutral
I was very upset until the lottery's lucky ticket number was released,"The user's sentiment shifted from being upset to possibly relieved or happy upon learning the lottery's lucky ticket number, indicating a change in emotional state from negative to positive or neutral.",Positive
I hate to hear to rumors about me dating Mr. Zing,"The user dislikes rumors about dating Mr. Zing, as indicated by the phrase 'I hate' in their statement.",Negative
I hate to hear to rumors about me dating Mr. Zing,"The speaker is expressing discomfort with rumors about their personal life, specifically regarding a potential relationship with Mr. Zing.",Negative
"Ok that's all for today,bye",The conversation has ended.,Neutral
Call me later,User asked to be called later.,Neutral
I love cookies,The speaker expressed affection for cookies.,Positive
I love cookies,User expressed affection for cookies.,Positive
I was very upset because of financial issues but the Lottery's result was a game changer.,"The speaker was experiencing financial difficulties and was upset, but the outcome of the lottery had a significant impact, implying a positive turn of events. The lottery result brought a change, likely for the better, in the speaker's life. This change is inferred to have alleviated the speaker's financial concerns.",Positive
I am very angry over the argument.,"The speaker is expressing strong emotions, specifically anger, in response to a disagreement or conflict, indicating a heated situation.",Negative
I am very excited to tell you all about my recent trip to Bali.,The speaker recently visited Bali and is excited to share their experience.,Positive
I don't know how I am feeling currently.,The speaker is unsure about their current emotional state.,Neutral
I was very upset because of financial issues but the Lottery's result was a game changer.,"The speaker was experiencing financial difficulties, which caused them upset, but the outcome of the lottery brought a significant positive change to their situation.",Positive
I am very angry over the argument.,"The speaker is expressing strong emotions, specifically anger, in response to a disagreement or conflict, indicating a heated situation.",Negative
I don't know how I am feeling currently.,The speaker is unsure about their current emotional state.,Neutral
I don't know how I am feeling currently.,The speaker is unsure about their current emotional state.,Neutral
